id3	sample_id	sample_type	purity_ascat	purity_absolute	purity_remixt	purity_purple	purity_estimate	purity_hatchet	ploidy_ascat	ploidy_absolute	ploidy_remixt	ploidy_purple	ploidy_hatchet
HCM-CSHL-0385-C18	HCM-CSHL-0385-C18-85A	M	0.85	0.98	0.98	1	1	1	1.85	4.31	4.12	2.16	4.395187518
HCM-CSHL-0405-C25	HCM-CSHL-0405-C25-85A	M	0.99	0.99	0.99	1	1	0.996612	1.8	0.193	1.87	1.9	1.951959311
HCM-CSHL-0426-C18	HCM-CSHL-0426-C18-85A	M	1	0.99	defer	1	0.99	0.03	1.95	1.99	defer	2	1.640484946
HCM-CSHL-0433-C24	HCM-CSHL-0433-C24-85A	M	0.96	0.99	0.99	1	1	0.996439	1.85	1.95	1.92	1.94	1.955939482
HCM-CSHL-0438-C18	HCM-CSHL-0438-C18-85B	M	0.97	0.99	0.99	0.99	0.99	0.992672	2	2.1	2.48	2.08	2.095373321
HCM-CSHL-0459-C17	HCM-CSHL-0459-C17-85A	M	1	0.99	0.98	1	1	0.03	1.95	1.99	1.95	2	1.848763672
HCM-CSHL-0459-C17	HCM-CSHL-0459-C17-86A	M	NA	0.99	0.99	0.92	1	NA	NA	2.03	1.88	2.02	NA
HCM-CSHL-0460-C50	HCM-CSHL-0460-C50-85A	M	1	0.99	0.98	1	0.99	1	2	2.01	2.02	2.02	2.037751573
HCM-CSHL-0461-D12	HCM-CSHL-0461-D12-86A	M	NA	0.99	defer	1	1	NA	NA	2.01	defer	2	NA
HCM-CSHL-0509-C24	HCM-CSHL-0509-C24-85A	M	1	0.99	1	1	1	0.973487	2	2.05	2.48	2.06	2.061646628
HCM-CSHL-0510-D13	HCM-CSHL-0510-D13-85A	M	1	0.99	0.18	1	1	0.987389	2.05	2.03	2.49	2.06	2.041733018
HCM-CSHL-0510-D13	HCM-CSHL-0510-D13-86A	M	NA	0.99	0.09	1	1	NA	NA	2.05	3.01	2.06	NA
HCM-CSHL-0621-C18	HCM-CSHL-0621-C18-85M	M	0.99	0.99	0.989664449	1	1	0.999838	1.8	1.82	1.99973187	1.8	1.81211978
HCM-CSHL-0622-C18	HCM-CSHL-0622-C18-85A	M	0.97	0.99	0.99	1	1	0.86977	2.85	2.83	2.81	2.82	2.813559415
HCM-CSHL-0654-C26	HCM-CSHL-0654-C26-85M	M	0.93	0.99	0.99	0.99	1	0.979634	2.45	2.59	2.54	2.58	2.59521568
HCM-CSHL-0725-C02	HCM-CSHL-0725-C02-85A	M	0.86	0.99	0.99	0.99	1	1	2.2	2.16	2.6	2.16	2.16468717
HCM-CSHL-0740-C18	HCM-CSHL-0740-C18-85N	M	1	0.99	0.98	1	0.99	0.983932	5.2	2.77	2.88	2.76	2.883649322
HCM-CSHL-0806-C54	HCM-CSHL-0806-C54-85A	M	0.99	0.99	0.990490258	1	0.99	0.999993	2.05	1.99	2.4810297	2	2.006895928
HCM-CSHL-0810-C54	HCM-CSHL-0810-C54-85B	M	0.97	0.99	0.99	1	1	0.961839	3.05	2.92	3.19	2.94	3.074882644
