,case_id3,cell_type,Diagnosis_TCGA_HCMI_Code,umap1,umap2
TCGA-EJ-5515-01,,TCGA Tumor,PRAD,9.056720224,8.237636019
TCGA-76-4927-01,,TCGA Tumor,GBM,1.258229223,-9.767157148
TCGA-FG-8182-01,,TCGA Tumor,LGG,2.271532383,-11.00017602
TCGA-21-A5DI-01,,TCGA Tumor,LUSC,-5.58396295,0.902808894
TCGA-CN-5373-01,,TCGA Tumor,HNSC,-6.699873004,0.502567102
TCGA-CZ-4860-01,,TCGA Tumor,KIRC,6.133121457,-5.313202928
TCGA-E3-A3DZ-01,,TCGA Tumor,THCA,11.58391234,0.79743575
TCGA-26-5132-01,,TCGA Tumor,GBM,1.241199341,-9.864298414
TCGA-A3-3363-01,,TCGA Tumor,KIRC,-0.993230018,7.844994475
TCGA-X6-A8C4-01,,TCGA Tumor,SARC,1.284183946,1.237105776
TCGA-G9-6496-01,,TCGA Tumor,PRAD,8.664395776,8.165242602
TCGA-VS-A9UD-01,,TCGA Tumor,CESC,-5.598538432,1.421902705
TCGA-ZB-A96M-01,,TCGA Tumor,THYM,-11.0032945,5.928162028
TCGA-JX-A3PZ-01,,TCGA Tumor,CESC,-5.152572188,0.610255648
TCGA-36-1574-01,,TCGA Tumor,OV,1.565946903,7.496608664
TCGA-ER-A19S-06,,TCGA Tumor,SKCM,5.53558537,3.560509373
TCGA-DD-AADL-01,,TCGA Tumor,LIHC,0.800055828,3.941983153
TCGA-BT-A20P-01,,TCGA Tumor,BLCA,-3.638596091,0.136955012
TCGA-FB-AAPZ-01,,TCGA Tumor,PAAD,-3.072839532,-2.585458587
