,case_id3,cancer_type,cell_type,Diagnosis_TCGA_HCMI_Code,CCLE_Disease,umap1,umap2
HCM-CSHL-0374-C25-85A,HCM-CSHL-0374-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.727984462,-2.730470013
HCM-CSHL-0377-C18-85A,HCM-CSHL-0377-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-4.45876554,-3.399095844
HCM-CSHL-0378-C18-85A,HCM-CSHL-0378-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.72883657,-2.831186603
HCM-CSHL-0379-C18-85A,HCM-CSHL-0379-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.962566886,-2.716288637
HCM-CSHL-0379-C18-85C,HCM-CSHL-0379-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.984301123,-2.699511122
HCM-CSHL-0380-C18-85A,HCM-CSHL-0380-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-4.506324801,-3.544542383
HCM-CSHL-0381-C20-85A,HCM-CSHL-0381-C20,Colorectal Cancer,HCMI Model,READ,Colon/Colorectal Cancer,-5.937350783,-2.745253633
HCM-CSHL-0382-C19-85A,HCM-CSHL-0382-C19,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.842621836,-2.692380976
HCM-CSHL-0382-C19-85N,HCM-CSHL-0382-C19,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-4.945042167,-1.965475391
HCM-CSHL-0383-C18-85A,HCM-CSHL-0383-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.950117144,-2.62553842
HCM-CSHL-0385-C18-85A,HCM-CSHL-0385-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.940547976,-2.702184271
HCM-CSHL-0393-C18-85A,HCM-CSHL-0393-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-4.078688178,6.954760004
