case,tumor_id,tumor_n_wgd,tumor_fraction_diploid,model_id,model_type,model_n_wgd,model_fraction_diploid,cancer_type,loh_union,loh_match,loh_shared,loh_model,loh_tumor,cn_equal,cn_equal_wgd,cn_mean_sq_diff,cn_mean_sq_diff_wgd,cn_correlation,tumor_consensus_purity,tumor_consensus_ploidy,model_consensus_purity,model_consensus_ploidy,is_wgd_tumor,is_wgd_model,wgd_status
HCM-BROD-0198-C71,HCM-BROD-0198-C71-01A,0,0.8409665787632528,HCM-BROD-0198-C71-85B,model,0,0.8128374863211524,GBM,0.08863893224261342,0.6937866828577212,0.9728575785300396,0.024236226970202536,0.002906194499757817,0.9629353460034555,0.9629353460034555,0.0380649267982177,0.0380649267982177,0.8988783867339999,0.7467494,2.106959743,0.9895815,1.967275227,False,False,Both diploid
HCM-BROD-0199-C71,HCM-BROD-0199-C71-01A,0,0.8382218395134815,HCM-BROD-0199-C71-85A,model,0,0.8263817878478015,GBM,0.11135030407405413,0.902368293861769,0.9891286798342392,0.00997434655472436,0.0008969736110363633,0.9879854809437386,0.9879854809437386,0.013666061705989111,0.013666061705989111,0.9754275441512567,0.6461895,2.09191557,0.984394333,1.932257367,False,False,Both diploid
HCM-BROD-0199-C71,HCM-BROD-0199-C71-02A,0,0.8213587356259979,HCM-BROD-0199-C71-85R,model,0,0.8095545629047594,GBM,0.13687817304414904,0.7490170380078637,0.9656459106973073,0.024433561164630538,0.009920528138062178,0.9534477106327177,0.9534477106327177,0.04835537099770517,0.04835537099770517,0.9195576028238468,0.874397333,1.927887107,0.9930614,1.933439538,False,False,Both diploid
HCM-BROD-0200-C71,HCM-BROD-0200-C71-01A,0,0.8106668101824445,HCM-BROD-0200-C71-85B,model,0,0.8203541251816372,GBM,0.11608632474032614,0.9706382321125019,0.9965915002780619,0.0005202446944010907,0.00288825502753709,0.9942486762826365,0.9942486762826365,0.006992879313492788,0.006992879313492788,0.9896412914668388,0.455611667,2.079820972,0.998,1.84,False,False,Both diploid
HCM-BROD-0209-C71,HCM-BROD-0209-C71-02A,1,0.11504583535152396,HCM-BROD-0209-C71-85A,model,1,0.0006278815277254543,GBM,0.09289058715892579,0.9897643877945153,0.9990492079723015,0.00035878944441454535,0.0005920025832839998,0.40709284350277347,0.40709284350277347,1.628607802127853,1.628607802127853,0.51815237271009,0.641065833,3.18100383,0.96,3.86,True,True,Both WGD
HCM-BROD-0210-C71,HCM-BROD-0210-C71-02A,0,0.7063308397466946,HCM-BROD-0210-C71-85R,model,0,0.5748345083687638,GBM,0.41289489263225876,0.5459245742092458,0.8125145758211794,0.18570941642896865,0.0017760077498519993,0.6642228472915344,0.6642228472915344,0.3728336811541602,0.3728336811541602,0.45882220242513255,0.3375934,1.944388072,0.9926455,1.593333333,False,False,Both diploid
HCM-BROD-0213-C71,HCM-BROD-0213-C71-02A,0,0.8031142923775183,HCM-BROD-0213-C71-85A,model,0,0.7752004736020667,GBM,0.13601707837755414,0.9856238459509364,0.9980445975279407,0.00037672891663527257,0.0015786735554239994,0.9533413060810321,0.9533413060810321,0.05573675436689135,0.05573675436689135,0.8753976359478421,0.927807833,1.956942745,0.984431833,1.914660772,False,False,Both diploid
HCM-BROD-0220-C15,HCM-BROD-0220-C15-06A,1,0.36426098344186714,HCM-BROD-0220-C15-85D,model,1,0.38765405521769547,ESCA,0.18135012467933193,0.7184686912652092,0.9489442620598102,0.050302280106919256,0.0007534578332705451,0.8549156507594173,0.8549156507594173,0.20528941933361358,0.20528941933361358,0.8721028701473472,0.853132833,2.691003974,0.66416275,2.44,True,True,Both WGD
HCM-BROD-0223-C43,HCM-BROD-0223-C43-06A,0,0.7262795328561433,HCM-BROD-0223-C43-85M,model,0,0.7275891143282565,SKCM,0.2520495847012181,0.954306049822064,0.9884828588342931,0.0014889761943203631,0.010028164971386542,0.9975866769831621,0.9975866769831621,0.003187060167274603,0.003187060167274603,0.992498507097602,0.8377625,1.765493102,0.9979135,1.749135543,False,False,Both diploid
HCM-BROD-0231-C25,HCM-BROD-0231-C25-06A,0,0.9933265163338895,HCM-BROD-0231-C25-85N,model,0,0.6496600470014172,PAAD,0.33457115691656353,0.0005898123324396783,0.6656261772778644,0.33426618588881113,0.0001076368333243636,0.6867869509750318,0.6867869509750318,0.31448879168944777,0.31448879168944777,0.03492726254620146,0.356666667,1.998926644,1.0,1.7,False,False,Both diploid
