cancer_type,gene,event,note,count
UCEC,DNMT3A,missense,both,2
COAD,LATS1,truncating,both,2
COAD,MACF1,missense,model-only,2
UCEC,USP9X,missense,both,2
AMPV,ARID1A,truncating,both,2
AMPV,ARID2,truncating,both,2
AMPV,DMD,missense,both,2
AMPV,CDKN2A,homdel,both,2
UCEC,KMT2D,truncating,model-only,2
AMPV,KRAS,missense,both,2
UCEC,RIT1,hlamp,model-only,2
UCEC,SETD2,missense,both,2
UCEC,RPL22,truncating,model-only,2
UCEC,PLXNB2,missense,both,2
AMPV,TBL1XR1,missense,both,2
UCEC,DMD,missense,both,2
AMPV,CDK5,hlamp,tumor-only,1
AMPV,CHD3,truncating,both,1
AMPV,CHEK2,missense,both,1
AMPV,CTNND1,missense,both,1
AMPV,CTNND1,truncating,both,1
AMPV,DACH1,deletion,model-only,1
AMPV,DAZAP1,truncating,both,1
UCEC,TRAF3,missense,tumor-only,1
AMPV,MAP3K4,missense,both,1
WT,BCOR,truncating,model-only,1
UCEC,ZMYM3,truncating,model-only,1
AMPV,GABRA6,truncating,both,1
WT,ZNF703,hlamp,both,1
AMPV,ACVR1B,missense,both,1
AMPV,ACVR2A,truncating,both,1
AMPV,APC,missense,both,1
AMPV,APC,truncating,both,1
AMPV,AR,missense,both,1
AMPV,ASXL2,truncating,both,1
AMPV,ATR,truncating,tumor-only,1
AMPV,AXIN1,truncating,both,1
AMPV,AXIN2,missense,model-only,1
UCEC,SPOP,missense,tumor-only,1
UCEC,SIN3A,missense,both,1
UCEC,SIN3A,missense,tumor-only,1
UCEC,SIN3A,truncating,tumor-only,1
UCEC,SMAD4,missense,tumor-only,1
UCEC,SMARCA1,truncating,tumor-only,1
UCEC,SMARCA4,missense,tumor-only,1
UCEC,SMARCA4,truncating,both,1
UCEC,TAF1,deletion,both,1
UCEC,TAF1,missense,tumor-only,1
UCEC,TBL1XR1,missense,both,1
UCEC,SMC3,missense,tumor-only,1
UCEC,SOS1,missense,tumor-only,1
UCEC,SOX9,missense,tumor-only,1
UCEC,SOX9,truncating,both,1
UCEC,SPOP,missense,both,1
AMPV,SMARCA4,missense,model-only,1
